gene_id	H9
ENSG00000000003	24.75
ENSG00000000005	1.39
ENSG00000000419	16.75
ENSG00000000457	4.03
ENSG00000000460	2.59
ENSG00000000938	0.01
ENSG00000000971	0
ENSG00000001036	25.31
ENSG00000001084	6.1
ENSG00000001167	17.17
ENSG00000001460	1.07
ENSG00000001461	2.1
ENSG00000001497	14.91
ENSG00000001561	2.42
ENSG00000001617	3.76
ENSG00000001626	0.28
ENSG00000001629	12.33
ENSG00000001630	2.28
ENSG00000001631	5.65
ENSG00000002016	1.73
ENSG00000002330	6.14
ENSG00000002549	8.13
ENSG00000002586	10.36
ENSG00000002587	0.15
ENSG00000002726	0.11
ENSG00000002745	0.09
ENSG00000002746	0.65
ENSG00000002822	2.35
ENSG00000002834	76.63
ENSG00000002919	7.38
ENSG00000002933	0.03
ENSG00000003056	39.68
ENSG00000003096	3.49
ENSG00000003137	0.09
ENSG00000003147	3.17
ENSG00000003249	20.08
ENSG00000003393	6.17
ENSG00000003400	0.55
ENSG00000003402	0.58
ENSG00000003436	1.57
ENSG00000003509	18.46
ENSG00000003756	5.07
ENSG00000003987	2.07
ENSG00000003989	8.53
ENSG00000004059	13.85
ENSG00000004139	2.87
ENSG00000004399	5.39
ENSG00000004455	13.79
ENSG00000004468	0.04
ENSG00000004478	65.88
ENSG00000004487	52.49
ENSG00000004534	11.11
ENSG00000004660	1.69
ENSG00000004700	14.11
ENSG00000004766	1.52
ENSG00000004776	0.54
ENSG00000004777	3.6
ENSG00000004779	22.86
ENSG00000004799	0.09
ENSG00000004809	0
ENSG00000004838	0.03
ENSG00000004846	0.02
ENSG00000004848	0.15
ENSG00000004864	23.82
ENSG00000004866	2.69
ENSG00000004897	12.37
ENSG00000004939	0.01
ENSG00000004948	0.18
ENSG00000004961	10.4
ENSG00000004975	11.09
ENSG00000005001	0.25
ENSG00000005007	19.65
ENSG00000005020	1.19
ENSG00000005022	184.77
ENSG00000005059	2.55
ENSG00000005073	0
ENSG00000005075	11.76
ENSG00000005100	30.72
ENSG00000005102	0.03
ENSG00000005108	0.43
ENSG00000005156	11.24
ENSG00000005175	7.74
ENSG00000005187	1.27
ENSG00000005189	1.19
ENSG00000005194	15.01
ENSG00000005206	3.99
ENSG00000005238	1.14
ENSG00000005243	0
ENSG00000005249	14.15
ENSG00000005302	2.09
ENSG00000005339	16.76
ENSG00000005379	0.52
ENSG00000005381	0.04
ENSG00000005421	0.13
ENSG00000005436	4.85
ENSG00000005448	3.25
ENSG00000005469	0.83
ENSG00000005471	0.05
ENSG00000005483	11.28
ENSG00000005486	7.24
ENSG00000005513	3.04
ENSG00000005700	8.49
ENSG00000005801	17.5
ENSG00000005810	5.99
ENSG00000005812	5.15
ENSG00000005844	0.01
ENSG00000005882	1.5
ENSG00000005884	3.62
ENSG00000005889	7.37
ENSG00000005893	10
ENSG00000005955	4.84
ENSG00000005961	0.55
ENSG00000005981	0
ENSG00000006007	15.8
ENSG00000006015	11.37
ENSG00000006016	1.12
ENSG00000006025	0.97
ENSG00000006042	21.96
ENSG00000006047	6.15
ENSG00000006059	0
ENSG00000006062	2.47
ENSG00000006071	0.12
ENSG00000006074	0
ENSG00000006075	0
ENSG00000006114	5.23
ENSG00000006116	0.03
ENSG00000006118	6.9
ENSG00000006125	66.93
ENSG00000006128	0.67
ENSG00000006194	11.83
ENSG00000006210	0.29
ENSG00000006282	2.15
ENSG00000006283	0.37
ENSG00000006327	25.56
ENSG00000006377	0.01
ENSG00000006432	5.69
ENSG00000006451	33.01
ENSG00000006453	8.72
ENSG00000006459	3.85
ENSG00000006468	9.79
ENSG00000006530	5.95
ENSG00000006555	0.21
ENSG00000006576	4.31
ENSG00000006606	1.8
ENSG00000006607	1.41
ENSG00000006611	0.13
ENSG00000006625	28.51
ENSG00000006634	14.64
ENSG00000006638	0.22
ENSG00000006652	5.81
ENSG00000006659	0.12
ENSG00000006695	10.58
ENSG00000006704	3.85
ENSG00000006712	12.96
ENSG00000006715	6.42
